,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
PROV,75.98%,1.42%,110.41%, 8.30 ,7.28%,15.48%, -   ,-8.5%,15.2%,, 0.16 ,, 16.23 ,, 18.04 ,,,57.0%,45.2%,,0,,3.655," 214,646,912.00 ",USD," 5,210,439.00 ", 1.05 ,,, 320.00 ,0.000%," 58,731,000.00 ",27.65%,57.23%,Savings & Cooperative Banks,1075766400,2-Mar," 2,131,000.00 ",3," 27,986,000.00 ",16.48%,, (1.35), 2.00 , 1.11 ,3.63%,,hold,3,0.18%,1.71%,-13.30%, 7.79 ,Financial Services,," 7,433,930.00 ",0.34%," 25,378.00 "," 27,437.00 ",0.43%, 3.51 , 19.50 , 19.00 , 19.17 , 19.00 ," 44,750,000.00 ", 6.02 ," 126,627,000.00 "," 58,731,000.00 ", 0.28 
ACTG,-79.05%,-49.21%,-5.30%, 0.09 ,-43.16%,8.81%, -   ,-9.1%,15.6%,5, 0.72 ,8, 4.71 ,10, 3.45 , 10.57 ,,,," 15,756,000.00 ",0.14499,2.061,0.299," 32,477,464.00 ",USD," 43,837,283.00 ", (0.01),," 27,541,124.00 ", 13.00 ,36.332%," 25,549,000.00 ",4.29%,60.79%,Business Services,,," (12,236,000.00)",1," 39,436,000.00 ",-5.30%,10, 2.44 , 2.00 , 0.73 ,-11.23%, 10.31 ,buy,2,-1.40%,-5.23%,-60.60%, 2.15 ,Industrials,6," 49,495,100.00 ",2.32%," 1,148,212.00 "," 1,164,804.00 ",2.35%, 8.95 , 6.50 , 6.50 , 6.50 , 6.50 ," 134,844,000.00 ", 2.72 , -   ," 108,669,000.00 ", (0.24)
MCY,31.25%,0.58%,155.38%, 1.72 ,2.99%,3.03%, 21.81 ,-9.2%,15.2%,2, 0.59 ,7, 30.90 ,6, 53.33 , 0.90 ,21.81,16.9%,16.6%," 151,379,008.00 ",0.044770002,18.599,0.833," 2,815,539,200.00 ",USD," 27,256,581.00 ", 3.25 , 16.41 ," 43,458,124.00 "," 4,300.00 ",11.135%," 449,828,000.00 ",50.72%,50.80%,Insurance - Property & Casualty,876441600,1-Feb," 83,837,000.00 ",2," 350,735,008.00 ",2.81%,5, 0.63 , 2.00 , 1.73 ,2.48%, 0.83 ,hold,3,1.17%,4.83%,3.80%, 61.10 ,Financial Services,3," 55,332,100.00 ",6.10%," 3,377,540.00 "," 3,195,053.00 ",16.44%, 12.09 , 64.00 , 48.00 , 56.00 , 56.00 ," 514,335,008.00 ", 9.30 ," 372,928,000.00 "," 3,380,886,016.00 ", 1.52 
SLB,1.95%,12.43%,-74.91%, 0.91 ,-1.72%,42.74%, 47.70 ,-9.7%,15.2%,1, 1.00 ,6, 26.36 ,10, 60.32 , 1.12 ,47.703,,," 6,915,999,744.00 ",0.21468,14.112,3.03," 97,596,899,328.00 ",USD," 1,382,651,745.00 ", 2.74 , 22.01 ," 2,844,499,968.00 "," 100,000.00 ",13.910%," 4,142,000,000.00 ",0.08%,80.45%,Oil & Gas Equipment & Services,1144627200,1-Feb," (755,000,000.00)",27," 5,704,000,000.00 ",10.26%,9, 0.75 , 2.00 , 2.29 ,-2.34%, 0.77 ,buy,2.1,2.85%,-1.94%,11.30%, 23.25 ,Energy,5," 1,384,120,064.00 ",1.31%," 18,191,500.00 "," 20,800,798.00 ",1.31%, 3.01 , 92.00 , 58.00 , 77.41 , 78.00 ," 3,048,999,936.00 ", 2.20 ," 17,600,999,424.00 "," 32,214,999,040.00 ", (0.55)
TOL,-13.32%,0.00%,9.31%, 1.19 ,8.44%,38.04%, 80.17 ,-9.7%,15.2%,2, 1.40 ,5, 30.55 ,3, 36.57 , 6.50 ,80.166,45.1%,30.1%," 788,414,976.00 ",0.11739001,10.846,1.273," 8,551,405,056.00 ",USD," 135,782,663.00 ", 5.14 , 7.11 ," 114,675,376.00 "," 4,500.00 ",21.294%," 1,267,549,000.00 ",7.61%,81.99%,Residential Construction,1121040000,1-Feb," 629,052,992.00 ",14," 479,494,016.00 ",11.36%,3, 0.40 , 2.00 , 1.20 ,9.37%, 0.55 ,buy,2.4,4.75%,13.86%,27.30%, 43.39 ,Consumer Cyclical,2," 147,364,000.00 ",5.46%," 8,294,833.00 "," 7,508,982.00 ",6.64%, 4.07 , 63.00 , 38.00 , 47.93 , 46.50 ," 522,180,992.00 ", 3.54 ," 3,637,454,080.00 "," 6,715,927,040.00 ", 3.99 
DGICA,98.54%,3.05%,107.63%, 2.78 ,2.91%,3.25%, 15.49 ,-9.7%,15.2%,1, 0.46 ,8, 14.85 ,9, 14.01 , 0.64 ,15.488,,," (11,501,239.00)",-0.0151,-35.508,0.536," 408,381,664.00 ",USD," 12,799,899.00 ", 1.20 , 11.68 ," 53,447,144.00 ",,-2.060%," 15,140,428.00 ",4.88%,82.08%,Insurance - Property & Casualty,1146096000,3-Apr," (14,638,003.00)",1," 72,726,104.00 ",-2.27%,8, (11.10), 2.00 , 0.94 ,-1.92%, 0.23 ,hold,2.7,-0.62%,-3.39%,6.70%, 27.31 ,Financial Services,7," 22,715,300.00 ",0.27%," 77,679.00 "," 90,978.00 ",0.65%, 5.12 , 18.00 , 18.00 , 18.00 , 18.00 ," 65,438,788.00 ", 2.31 ," 65,000,000.00 "," 761,593,152.00 ", (0.53)
HBMD,213.37%,-22.75%,4.72%, 9.76 ,9.03%,4.68%, -   ,-9.8%,15.2%,2, (0.29),8, 15.23 ,8, 18.40 ,,,,,,0,,8.321," 548,315,840.00 ",USD," 16,364,425.00 ", 1.09 , 16.88 ,, 300.00 ,0.000%," 55,552,000.00 ",25.03%,53.26%,Banks - Regional - US,,," (4,357,000.00)",3," 30,170,000.00 ",19.95%,9,, 2.00 , 1.21 ,-6.61%,,buy,2.5,-0.27%,-2.09%,52.80%, 5.09 ,Financial Services,10," 19,024,600.00 ",2.15%," 408,767.00 "," 382,267.00 ",3.47%, 14.05 , 19.00 , 17.00 , 18.00 , 18.00 ," 107,961,000.00 ", 5.68 ," 316,687,008.00 "," 65,897,000.00 ", (0.35)
RE,60.67%,12.55%,27.24%, 1.72 ,13.90%,5.29%, 7.69 ,-10.0%,15.2%,1, 0.14 ,9, 201.70 ,6, 210.51 , 2.18 ,7.687,-71.4%,-71.5%,,0,,1.177," 8,524,759,040.00 ",USD," 30,503,899.00 ", 23.90 , 8.81 ," (582,636,032.00)"," 1,276.00 ",1.864%," 491,800,000.00 ",25.34%,98.62%,Insurance - Reinsurance,,," 209,840,992.00 ",10," 660,979,008.00 ",1.50%,8, 0.32 , 2.00 , 1.04 ,2.93%, 1.27 ,hold,2.6,0.29%,2.52%,23.50%, 178.55 ,Financial Services,9," 40,855,400.00 ",2.20%," 900,501.00 "," 859,196.00 ",2.86%, 2.80 , 290.00 , 235.00 , 248.70 , 241.50 ," 912,684,032.00 ", 22.34 ," 633,504,000.00 "," 7,240,189,952.00 ", 5.14 
BNS,1.03%,5.16%,48.85%, 15.75 ,31.20%,4.89%, -   ,-10.0%,15.2%,1, 1.02 ,1, 37.08 ,3, 57.68 ,,,-7.1%,-3.0%,,0,,-1.353," (26,013,192,192.00)",CAD," 1,221,056,849.00 ", 5.89 , 9.79 ,," 96,988.00 ",0.000%," 24,906,000,000.00 ",0.02%,53.99%,Banks - Global,1083196800,1-Feb," 6,188,918,784.00 ",4," (16,991,901,696.00)",42.69%,1, 2.60 , 2.00 , 1.56 ,32.77%,,buy,1.8,0.92%,13.61%,-1.30%, 15.97 ,Financial Services,1," 1,198,569,984.00 ",0.53%," 6,650,506.00 "," 7,014,233.00 ",, 10.91 , 74.01 , 69.67 , 71.51 , 71.17 ," 192,897,630,208.00 ", 156.61 ," 91,838,504,960.00 "," 19,230,527,488.00 ", 5.07 
BABA,-100.00%,-100.00%,0.00%, 0.65 ,41.29%,30.26%, 29.22 ,-10.2%,15.6%,, 2.50 ,, 23.15 ,, 156.77 , 1.44 ,29.22,-41.5%,-40.6%," 12,824,240,128.00 ",0.30025,33.063,9.927," 424,008,908,800.00 ",CNY," 865,693,210.00 ", 7.67 , 20.44 ," 14,042,006,528.00 "," 86,833.00 ",52.846%," 144,023,000,000.00 ",52.51%,40.47%,Specialty Retail,,," 8,814,023,680.00 ",45," 20,583,079,936.00 ",21.75%,, 42.92 , 2.00 , 6.77 ,20.69%, 1.13 ,buy,1.7,5.70%,13.48%,61.20%, 16.67 ,Consumer Cyclical,," 2,571,930,112.00 ",4.08%," 141,518,165.00 "," 133,752,561.00 ",, 5.18 , 293.94 , 161.42 , 230.35 , 229.17 ," 28,142,952,448.00 ", 10.90 ," 20,990,136,320.00 "," 42,712,305,664.00 ", 3.37 
NYCB,-416.36%,-5.54%,-273.14%, 7.06 ,20.94%,10.72%, -   ,-10.5%,15.2%,2, 0.50 ,7, 12.82 ,10, 10.91 ,,,-8.2%,-6.9%,,0,,14.552," 17,456,828,416.00 ",USD," 474,747,718.00 ", 0.83 , 13.14 ,," 3,096.00 ",0.000%," 1,309,641,000.00 ",3.32%,66.06%,Savings & Cooperative Banks,1077062400,3-Apr," 423,681,984.00 ",14," 1,136,946,048.00 ",50.99%,8, (0.66), 2.00 , 0.85 ,38.42%,,hold,2.9,0.93%,6.82%,-18.10%, 2.46 ,Financial Services,3," 490,360,992.00 ",10.45%," 51,239,841.00 "," 46,275,936.00 ",12.04%, 10.05 , 15.00 , 9.50 , 11.77 , 11.25 ," 2,204,397,056.00 ", 4.50 ," 13,793,839,104.00 "," 1,199,608,064.00 ", 0.87 
WIT,-30.06%,-30.55%,18.97%, 0.55 ,15.83%,173.04%, 23.46 ,-10.6%,15.2%,3, 0.51 ,1, 1.62 ,6, 5.34 , 2.53 ,23.46,9.8%,2.1%," 1,485,041,152.00 ",0.18523,14.056,2.604," 20,874,354,688.00 ",INR," 1,056,832,150.00 ", 0.29 , 18.41 ," 1,006,451,776.00 "," 164,659.00 ",29.099%," 159,296,000,000.00 ",0.00%,2.48%,Information Technology Services,1498089600,1-Feb," 1,177,231,616.00 ",3," 1,220,565,376.00 ",14.90%,5, 2.46 , 2.00 , 3.29 ,14.68%, 2.40 ,underperform,4,6.41%,15.35%,2.60%, 1.72 ,Technology,8," 4,501,760,000.00 ",0.44%," 20,024,284.00 "," 21,201,933.00 ",, 20.36 , 5.30 , 4.25 , 4.67 , 4.46 ," 4,737,888,768.00 ", 1.05 ," 1,721,183,360.00 "," 8,017,417,728.00 ", 0.25 
T,-28.18%,8.16%,69.41%, 2.23 ,11.79%,346.90%, 104.15 ,-10.7%,15.2%,1, 0.37 ,3, 25.21 ,9, 32.67 , 0.81 ,104.145,27.2%,31.1%," 45,451,001,856.00 ",0.287,9.078,2.605," 412,610,428,928.00 ",USD," 7,256,408,260.00 ", 3.65 , 8.95 ," 9,752,250,368.00 "," 273,210.00 ",51.968%," 83,167,000,000.00 ",0.06%,55.97%,Telecom Services,890352000,1-Feb," 31,860,000,768.00 ",26," 40,656,998,400.00 ",15.01%,5, 1.48 , 2.00 , 1.30 ,20.12%, 0.60 ,hold,2.6,3.11%,20.82%,-2.10%, 25.50 ,Communication Services,2," 7,262,000,128.00 ",1.00%," 72,648,177.00 "," 84,474,872.00 ",1.18%, 1.93 , 43.00 , 24.00 , 35.37 , 35.00 ," 13,557,000,192.00 ", 1.87 ," 191,762,006,016.00 "," 158,368,006,144.00 ", 5.12 
STN,41.98%,18.20%,39.02%, 0.99 ,4.55%,129.08%, 47.16 ,-11.0%,15.2%,1, 1.67 ,1, 13.05 ,3, 25.15 , 1.69 ,47.157,-59.1%,-59.4%," 251,826,528.00 ",0.09731,13.524,1.316," 3,405,657,088.00 ",CAD," 112,594,311.00 ", 1.80 , 13.97 ," 60,087,316.00 "," 22,000.00 ",52.459%," 1,827,900,000.00 ",0.93%,81.38%,Engineering & Construction,1416182400,1-Feb," 100,580,272.00 ",7," 110,352,640.00 ",6.58%,2, 1.46 , 2.00 , 1.93 ,3.89%, 1.63 ,hold,2.8,3.51%,6.87%,2.20%, 22.71 ,Industrials,3," 113,853,000.00 ",0.58%," 665,086.00 "," 704,053.00 ",, 50.40 , 30.74 , 24.43 , 28.21 , 28.38 ," 172,670,320.00 ", 1.52 ," 701,506,048.00 "," 2,587,799,552.00 ", 0.88 
CAJ,12.54%,4.34%,85.13%, 0.64 ,5.38%,475.21%, 15.82 ,-11.0%,15.2%,1, 0.74 ,10, 23.78 ,1, 30.69 , 2.03 ,15.817,13.2%,12.3%," 5,723,055,104.00 ",0.15439999,5.958,0.92," 34,100,633,600.00 ",JPY," 1,041,141,106.00 ", 2.07 , 14.83 ," 2,277,197,056.00 "," 197,776.00 ",47.751%," 1,992,691,000,000.00 ",0.00%,1.72%,Business Equipment,1156723200,2-Mar," 2,292,380,416.00 ",1," 4,052,886,528.00 ",9.15%,7, 14.96 , 2.00 , 1.29 ,6.18%, 1.20 ,underperform,4,4.57%,8.85%,1.40%, 34.32 ,Industrials,1," 1,079,750,016.00 ",0.04%," 670,347.00 "," 442,397.00 ",, 1.31 , 30.00 , 30.00 , 30.00 , 30.00 ," 5,806,009,856.00 ", 5.38 ," 4,384,034,304.00 "," 37,067,550,720.00 ", 2.12 
EXPE,76.43%,27.85%,37.99%, 2.40 ,6.14%,75.11%, 75.93 ,-11.2%,15.2%,2, 1.24 ,10, 26.52 ,10, 129.77 , 0.74 ,75.933,-98.1%,-98.2%," 1,157,831,936.00 ",0.10848,17.727,1.923," 20,525,291,520.00 ",USD," 111,469,600.00 ", 6.31 , 20.57 ," 857,571,008.00 "," 22,615.00 ",82.380%," 8,303,313,000.00 ",12.56%,88.82%,Leisure,1324425600,2-Jan," 270,964,000.00 ",30," 1,901,154,048.00 ",5.74%,10, 1.32 , 2.00 , 4.89 ,2.54%, 0.68 ,buy,2.1,1.95%,4.27%,11.40%, 70.42 ,Consumer Cyclical,10," 136,651,008.00 ",5.72%," 8,552,156.00 "," 10,339,699.00 ",7.12%, 4.96 , 180.00 , 121.00 , 150.90 , 155.00 ," 4,562,999,808.00 ", 30.53 ," 4,231,000,064.00 "," 10,672,843,776.00 ", 1.74 
NOK,-222.07%,35.16%,-54.84%, 1.24 ,3.31%,41.46%, 24.63 ,-11.5%,15.2%,1, 0.16 ,1, 3.13 ,9, 5.36 , 1.37 ,24.632,,," 2,977,663,232.00 ",0.11417,9.076,1.036," 27,025,389,568.00 ",EUR," 5,547,603,321.00 ", 0.36 , 14.89 ," 1,206,472,064.00 "," 103,000.00 ",40.370%," 9,592,000,000.00 ",0.00%,6.78%,Communication Equipment,955411200,1-Apr," (1,390,974,208.00)",9," 351,820,928.00 ",4.66%,1, 1.26 , 2.00 , 1.71 ,-4.57%, 1.14 ,hold,2.6,1.61%,-7.21%,-5.40%, 4.66 ,Technology,1," 5,587,550,208.00 ",0.51%," 31,647,632.00 "," 32,690,026.00 ",, 1.74 , 9.00 , 5.00 , 6.58 , 6.00 ," 7,112,141,824.00 ", 1.27 ," 4,330,193,408.00 "," 26,081,347,584.00 ", (0.21)
PKX,62.57%,8.78%,194.40%, 0.79 ,2.49%,28.36%, 44.80 ,-11.8%,15.2%,2, 1.46 ,1, 121.11 ,2, 65.37 , 1.65 ,44.802,6.6%,6.3%," 7,390,566,912.00 ",0.13225001,4.847,0.641," 35,824,861,184.00 ",KRW," 306,324,554.00 ", 10.11 , 6.47 ," 3,100,547,840.00 ",,13.995%," 8,337,841,000,000.00 ",0.00%,5.81%,Steel,,," 2,618,146,048.00 ",2," 5,540,009,472.00 ",7.98%,1, 7.60 , 2.00 , 0.54 ,4.74%, 1.02 ,strong_buy,1.5,3.91%,6.62%,7.60%, 174.87 ,Basic Materials,1," 79,999,696.00 ",0.13%," 480,218.00 "," 484,984.00 ",, 2.48 , 111.37 , 100.00 , 105.69 , 105.69 ," 8,545,336,832.00 ", 26.38 ," 19,071,496,192.00 "," 55,883,128,832.00 ", 8.19 
PG,-2.05%,0.13%,64.32%, 1.23 ,18.08%,174.24%, 59.16 ,-11.9%,15.2%,1, 0.28 ,5, 20.55 ,3, 82.01 , 0.83 ,59.161,-13.7%,-14.6%," 17,614,999,552.00 ",0.26357,12.761,3.363," 224,786,006,016.00 ",USD," 2,448,178,328.00 ", 4.71 , 17.41 ," 9,478,875,136.00 "," 92,000.00 ",49.951%," 33,383,000,000.00 ",0.07%,61.02%,Household & Personal Products,1087776000,1-Feb," 9,484,999,680.00 ",19," 14,867,000,320.00 ",22.12%,3, 2.88 , 2.00 , 3.99 ,14.59%, 0.59 ,hold,2.7,7.74%,18.15%,2.60%, 26.42 ,Consumer Defensive,4," 2,489,159,936.00 ",0.87%," 21,764,821.00 "," 21,398,022.00 ",0.89%, 2.99 , 93.00 , 75.00 , 83.08 , 83.00 ," 11,850,000,384.00 ", 4.76 ," 31,285,999,616.00 "," 66,831,998,976.00 ", 3.67 
SNY,-16.45%,0.32%,69.99%, 0.76 ,16.39%,148.91%, 51.35 ,-12.7%,15.2%,1, 0.77 ,3, 26.25 ,1, 42.47 , 1.28 ,51.349,-25.2%,-25.9%," 10,927,418,368.00 ",0.26825002,11.911,3.195," 130,154,676,224.00 ",EUR," 2,213,353,428.00 ", 3.55 , 11.96 ," 4,178,747,392.00 "," 106,566.00 ",68.260%," 24,776,000,000.00 ",0.01%,8.16%,Drug Manufacturers - Major,1380499200,5-Jan," 3,798,967,296.00 ",3," 7,684,142,080.00 ",18.58%,3, 1.88 , 2.00 , 1.62 ,9.96%, 0.71 ,buy,2.2,3.78%,5.91%,-5.20%, 16.29 ,Healthcare,4," 1,247,059,968.00 ",0.11%," 2,686,061.00 "," 4,442,056.00 ",, 2.39 , 48.00 , 43.00 , 46.00 , 47.00 ," 8,729,119,744.00 ", 3.50 ," 33,715,396,608.00 "," 40,736,669,696.00 ", 1.61 
WETF,137.09%,102.71%,127.65%, 0.27 ,16.85%,79.97%, 39.80 ,-13.0%,15.2%,1, 2.26 ,5, 2.34 ,4, 7.83 , 1.63 ,39.804,14.5%,38.2%," 60,994,000.00 ",0.24035999,23.767,5.713," 1,449,647,616.00 ",USD," 120,013,133.00 ", 0.41 , 19.10 ," 116,829,000.00 ", 231.00 ,46.218%," 102,660,000.00 ",24.34%,79.50%,Asset Management,,," 33,127,000.00 ",10," 40,239,000.00 ",23.49%,5, 0.61 , 2.00 , 3.34 ,13.54%, 1.47 ,hold,3.1,6.34%,9.98%,33.00%, 1.83 ,Financial Services,7," 150,810,000.00 ",5.10%," 7,808,001.00 "," 7,472,659.00 ",5.95%, 6.31 , 13.00 , 7.00 , 9.78 , 9.50 ," 70,744,000.00 ", 0.47 ," 193,407,008.00 "," 253,760,000.00 ", 0.24 
AMAT,-33.45%,-3.86%,24.56%, 1.04 ,17.93%,145.12%, 77.77 ,-13.1%,15.6%,1, 1.18 ,2, 6.94 ,1, 39.15 , 2.52 ,77.773,37.6%,26.8%," 5,319,000,064.00 ",0.3091,7.691,2.377," 40,909,029,376.00 ",USD," 973,583,302.00 ", 4.41 , 8.88 ," 1,561,750,016.00 "," 20,700.00 ",45.467%," 6,532,000,000.00 ",0.35%,78.72%,Semiconductor Equipment & Materials,1019001600,1-Feb," 3,419,000,064.00 ",22," 3,239,000,064.00 ",28.34%,1, 0.52 , 2.00 , 5.64 ,19.87%, 1.59 ,buy,1.9,16.49%,44.00%,19.30%, 16.62 ,Technology,3," 982,990,976.00 ",1.36%," 13,409,550.00 "," 15,061,436.00 ",1.28%, 1.41 , 75.00 , 49.00 , 62.09 , 62.50 ," 3,984,000,000.00 ", 4.05 ," 5,308,000,256.00 "," 17,208,000,512.00 ", 3.27 
OAK,2.60%,21.20%,100.24%, 9.95 ,22.79%,3.55%, 167.30 ,-13.2%,15.2%,, 1.06 ,, 13.13 ,, 39.50 , 0.81 ,167.3,-76.1%,-73.5%," 258,735,008.00 ",0.23591,33.252,7.845," 8,603,577,344.00 ",USD," 70,105,028.00 ", 3.49 , 11.32 ," (206,775,632.00)", 900.00 ,38.452%," 601,122,000.00 ",1.27%,63.62%,Asset Management,,," 143,108,000.00 ",8," (291,499,008.00)",21.60%,, 353.50 , 2.00 , 3.01 ,13.05%, 0.80 ,hold,2.9,1.69%,15.71%,-66.40%, 16.34 ,Financial Services,," 71,159,600.00 ",0.64%," 1,010,009.00 "," 789,805.00 ",1.46%, 3.84 , 48.00 , 39.00 , 43.25 , 43.00 ," 1,118,658,048.00 ", 15.72 ," 4,928,666,112.00 "," 1,096,731,008.00 ", 2.13 
BEP,879.98%,12.50%,1350.24%, 3.53 ,-0.95%,132.20%, 79.95 ,-14.0%,15.6%,, 0.24 ,, 20.12 ,, 30.60 , 0.78 ,79.95,-83.0%,-82.2%," 1,708,000,000.00 ",0.61153,16.25,9.937," 27,755,059,200.00 ",USD," 68,044,413.00 ", 0.34 , 90.00 ," 572,875,008.00 ",,65.127%," 1,671,000,000.00 ",,,Utilities - Independent Power Producers,,," (70,000,000.00)",4," 949,000,000.00 ",32.40%,,, 3.00 , 1.52 ,-2.51%, 0.32 ,buy,1.8,1.97%,0.49%,7.60%, 8.94 ,Utilities,," 180,264,992.00 ",0.11%," 343,688.00 "," 257,223.00 ",, 2.98 , 37.00 , 34.50 , 35.63 , 35.50 ," 301,000,000.00 ", 0.96 ," 10,974,000,128.00 "," 2,792,999,936.00 ", (0.22)
GILD,-19.16%,-23.00%,9.51%, 2.06 ,39.21%,79.88%, 133.71 ,-14.2%,15.2%,2, 1.42 ,6, 16.72 ,4, 72.23 , 3.00 ,133.708,-40.3%,-40.9%," 12,229,000,192.00 ",0.52717996,7.891,4.16," 96,496,304,128.00 ",USD," 1,287,914,379.00 ", 6.59 , 10.96 ," 8,306,749,952.00 "," 10,000.00 ",80.666%," 21,749,000,000.00 ",0.67%,81.11%,Biotechnology,1359331200,1-Feb," 2,208,000,000.00 ",23," 9,290,000,384.00 ",46.65%,3, (2.00), 2.00 , 4.32 ,9.52%, 2.81 ,buy,2.1,10.77%,9.97%,-20.90%, 17.78 ,Healthcare,4," 1,296,339,968.00 ",1.08%," 13,981,178.00 "," 15,410,952.00 ",1.08%, 2.23 , 106.00 , 69.00 , 87.87 , 88.00 ," 27,103,000,576.00 ", 20.91 ," 29,059,999,744.00 "," 23,196,999,680.00 ", 1.67 
HTH,136.48%,108.60%,7.70%, 5.88 ,10.30%,19.11%, -   ,-15.0%,15.2%,1, 1.31 ,10, 20.21 ,9, 20.40 ,,,-45.3%,-47.1%,,0,,2.619," 3,980,692,736.00 ",USD," 72,768,357.00 ", 1.78 , 11.46 ,," 5,500.00 ",0.000%," 1,585,784,000.00 ",22.84%,60.52%,Banks - Regional - US,,," 101,158,000.00 ",5," (126,161,000.00)",12.55%,10, 0.92 , 2.00 , 1.01 ,6.66%,,hold,2.7,0.76%,5.41%,-10.30%, 15.87 ,Financial Services,9," 94,576,800.00 ",1.67%," 1,581,269.00 "," 1,286,419.00 ",2.18%, 4.03 , 28.00 , 23.00 , 25.20 , 25.00 ," 1,248,889,984.00 ", 13.21 ," 3,251,790,080.00 "," 1,520,046,976.00 ", 1.05 
NBR,63.65%,8.40%,-12.03%, 1.52 ,-25.73%,12.02%, 115.82 ,-15.5%,15.2%,1, 2.01 ,8, 8.57 ,10, 6.05 , 2.04 ,115.822,,," 663,782,016.00 ",0.23156999,8.313,1.925," 5,518,343,168.00 ",USD," 334,501,471.00 ", (0.23), (26.30)," (24,917,000.00)"," 15,000.00 ",34.335%," 847,417,000.00 ",8.91%,97.96%,Oil & Gas Drilling,1145318400,1-Feb," (573,516,992.00)",23," 149,643,008.00 ",-7.03%,7, 0.03 , 2.00 , 0.71 ,-21.21%, 1.69 ,buy,1.9,-1.54%,-17.99%,20.70%, 9.53 ,Energy,1," 357,464,992.00 ",15.58%," 55,696,764.00 "," 54,895,275.00 ",15.57%, 4.76 , 13.00 , 7.50 , 9.30 , 9.10 ," 636,545,984.00 ", 1.78 ," 3,818,855,936.00 "," 2,866,493,952.00 ", (2.01)
NLY,-115.48%,3.94%,143.52%, 6.33 ,70.92%,0.00%, 602.98 ,-15.5%,15.2%,1, (0.13),4, 10.35 ,5, 10.48 , 0.03 ,602.981,,3974.9%,,0,,27.837," 96,455,868,416.00 ",USD," 1,162,435,081.00 ", 1.16 , 9.03 ,, 6.00 ,100.000%," 1,976,055,000.00 ",0.32%,57.21%,REIT - Diversified,,," 2,910,355,968.00 ",5," 9,109,638,144.00 ",92.56%,3, (4.68), 2.00 , 1.01 ,87.68%, 0.01 ,hold,3,3.31%,23.03%,823.50%, 3.05 ,Real Estate,3," 1,166,659,968.00 ",4.37%," 50,978,700.00 "," 31,358,349.00 ",4.41%, 5.58 , 11.00 , 10.00 , 10.40 , 10.50 ," 564,558,016.00 ", 0.48 ," 83,053,748,224.00 "," 3,465,041,920.00 ", 2.56 
CIB,15.07%,17.02%,34.52%, 8.30 ,26.04%,51.72%, -   ,-16.1%,15.2%,, 0.38 ,, 32.93 ,, 39.22 ,,,-9.2%,-9.5%,,0,,3.118," 11,122,623,488.00 ",COP," 177,402,193.00 ", 4.36 , 9.00 ,," 31,000.00 ",0.000%," 10,614,478,000,000.00 ",0.01%,43.81%,Banks - Regional - Latin America,,," 838,502,336.00 ",10," (834,207,808.00)",34.20%,, 0.82 , 2.00 , 1.19 ,23.50%,,hold,3.1,1.28%,11.06%,-7.70%, 15.19 ,Financial Services,," 939,230,976.00 ",0.34%," 635,944.00 "," 1,011,934.00 ",, 2.43 , 56.00 , 37.87 , 46.20 , 46.00 ," 5,585,235,456.00 ", 23.79 ," 6,556,670,976.00 "," 3,567,672,832.00 ", 3.57 
DLX,-4.31%,0.31%,26.06%, 1.38 ,12.15%,541.65%, 71.32 ,-16.5%,15.2%,1, 0.60 ,1, 22.58 ,1, 57.59 , 1.16 ,71.322,2.9%,1.1%," 483,735,008.00 ",0.24520999,7.278,1.785," 3,520,776,960.00 ",USD," 47,117,868.00 ", 5.95 , 9.68 ," 300,370,112.00 "," 5,905.00 ",61.429%," 1,224,034,000.00 ",1.20%,96.31%,Business Services,978393600,10000/7995," 235,867,008.00 ",2," 333,788,992.00 ",19.95%,1, 1.13 , 2.00 , 2.55 ,12.02%, 0.66 ,strong_buy,1.5,11.02%,23.42%,0.60%, 41.25 ,Industrials,2," 47,622,200.00 ",7.60%," 3,621,377.00 "," 4,671,402.00 ",8.61%, 8.86 , 95.00 , 84.00 , 89.50 , 89.50 ," 68,594,000.00 ", 1.44 ," 766,803,968.00 "," 1,972,716,032.00 ", 4.90 
